fdc_id	name	Protein	Lipids	Saturated Fats	Monounsaturated Fats	Polyunsaturated	Carbohydrates	Total Sugars	Dietary Fiber	Water	Calcium	Iron	Magnesium	Phosphorus	Potassium	Sodium	Zinc	Copper	Iodine	Manganese	Selenium	Vitamin A	Vitamin E	Vitamin D	Vitamin C	Thiamin	Riboflavin	Niacin	Pantothenic acid	Vitamin B-6	Folate, total	Vitamin B-12	Choline	Vitamin K	Tryptophan	Threonine	Isoleucine	Leucine	Lysine	Methionine	Phenylalanine	Valine	Histidine
2515382	Flour, coconut	16.1385	15.28	13.999	0.806	0.111	58.9025	0	34.24	4.69	35.98	8.018	247.7	507.2	2088	46.94	3.698	2.081	0	5.293	26.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644281	Beans, cannellini, dry	21.5625	2.199	0	0	0	59.7955	0	0	12.3	142.9	6.673	153.6	412.3	1424	0	2.72	0.7419	0	1.784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644282	Chickpeas, (garbanzo beans, bengal gram), dry	21.275	6.274	0	0	0	60.358	0	0	8.774	111.1	5.094	134.8	353.1	1074	8.779	3.124	0.8041	0	3.581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644283	Lentils, dry	23.56875	1.925	0	0	0	62.17125	0	0	9.451	61.85	7.158	106.7	373.6	948.9	0	3.863	0.8376	0	1.569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644284	Blackeye pea, dry	21.225	2.419	0	0	0	61.836	0	0	11.01	71.4	5.93	183.9	427.6	1243	3.458	3.654	0.9359	0	1.288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644285	Beans, black, canned, sodium added, drained and rinsed	6.9125	1.273	0	0	0	19.8135	0	0	70.79	43.31	1.688	32.54	90.95	253.1	217.9	0.7399	0.3359	0	0.3324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644286	Beans, navy, canned, sodium added, drained and rinsed	6.56875	1.398	0	0	0	19.98325	0	0	70.96	63.91	1.599	29.56	86.71	183.7	190.1	0.6313	0.29	0	0.3771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644287	Beans, cannellini, canned, sodium added, drained and rinsed	7.4125	1.169	0	0	0	18.8185	0	0	71.53	69.19	1.405	29.29	94.74	202.6	164	0.5155	0.2193	0	0.3686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644288	Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed	7.01875	3.096	0	0	0	20.32025	0	0	68.59	40.48	1.042	28.41	86.48	136.8	201.7	0.7243	0.2674	0	0.7448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2644289	Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed	7.8	1.256	0	0	0	21.03	0	0	68.82	56.94	1.439	29.31	104.1	226.9	172.3	0.56	0.273	0	0.3285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
